No	ai0
144	-0.0001634024
145	-0.0001633130
146	-0.0001633018
147	-0.0001633763
148	-0.0001633242
149	-0.0001633912
150	-0.0001633652
151	-0.0001633614
152	-0.0001634210
153	-0.0001633652
154	-0.0001633763
155	-0.0001633205
156	-0.0001633614
157	-0.0001632497
158	-0.0001633987
159	-0.0001633689
160	-0.0001632907
161	-0.0001633354
162	-0.0001633205
163	-0.0001634099
164	-0.0001634136
165	-0.0001633018
166	-0.0001632534
167	-0.0001632944
168	-0.0001633838
169	-0.0001633614
170	-0.0001634434
171	-0.0001633652
172	-0.0001634956
173	-0.0001633689
174	-0.0001633801
175	-0.0001634285
176	-0.0001633763
177	-0.0001633801
178	-0.0001633577
179	-0.0001634061
180	-0.0001634173
181	-0.0001633838
182	-0.0001633130
183	-0.0001632795
184	-0.0001632795
185	-0.0001634173
186	-0.0001633838
187	-0.0001634620
188	-0.0001633614
189	-0.0001633056
190	-0.0001633205
191	-0.0001633987
192	-0.0001634508
193	-0.0001632981
194	-0.0001633912
195	-0.0001635477
196	-0.0001633763
197	-0.0001633503
198	-0.0001634061
199	-0.0001634434
200	-0.0001632758
201	-0.0001633093
202	-0.0001633391
203	-0.0001634881
204	-0.0001634322
205	-0.0001633689
206	-0.0001632981
207	-0.0001633167
208	-0.0001633689
209	-0.0001633167
210	-0.0001633689
211	-0.0001633801
212	-0.0001634099
213	-0.0001633577
214	-0.0001633726
215	-0.0001634173
216	-0.0001633726
217	-0.0001633205
218	-0.0001633205
219	-0.0001633763
220	-0.0001633242
221	-0.0001633652
222	-0.0001633316
223	-0.0001634061
224	-0.0001633503
225	-0.0001634397
226	-0.0001633093
227	-0.0001634210
228	-0.0001633056
229	-0.0001633912
230	-0.0001633316
231	-0.0001633354
232	-0.0001634136
233	-0.0001633205
234	-0.0001633838
235	-0.0001633503
236	-0.0001633950
237	-0.0001633056
238	-0.0001633316
239	-0.0001634546
240	-0.0001632720
241	-0.0001633279
242	-0.0001633652
243	-0.0001634099
244	-0.0001633242
245	-0.0001635142
246	-0.0001633391
247	-0.0001633465
248	-0.0001633801
249	-0.0001634359
250	-0.0001634136
251	-0.0001633093
252	-0.0001633465
253	-0.0001632758
254	-0.0001632311
255	-0.0001632869
256	-0.0001633130
257	-0.0001633205
258	-0.0001632348
259	-0.0001634248
260	-0.0001632609
261	-0.0001632571
262	-0.0001633503
263	-0.0001632907
264	-0.0001762472
265	-0.0001699552
266	-0.0002096444
267	-0.0001828373
268	-0.0001828373
269	-0.0001828149
270	-0.0001827851
271	-0.0001827292
272	-0.0001829341
273	-0.0001827777
274	-0.0001827292
275	-0.0001828335
276	-0.0001827739
277	-0.0001827926
278	-0.0001827367
279	-0.0001827963
280	-0.0001828373
281	-0.0001826882
282	-0.0001828149
283	-0.0001827926
284	-0.0001827851
285	-0.0001827926
286	-0.0001828708
287	-0.0001827628
288	-0.0001828261
289	-0.0001827665
290	-0.0001828708
291	-0.0001827926
292	-0.0001827069
293	-0.0001827330
294	-0.0001827628
295	-0.0001827926
296	-0.0001827702
297	-0.0001828112
298	-0.0001828410
299	-0.0001827292
300	-0.0001828596
301	-0.0001827255
302	-0.0001827404
303	-0.0001827180
304	-0.0001828857
305	-0.0001827963
306	-0.0001826957
307	-0.0001828931
308	-0.0001827963
309	-0.0001827777
310	-0.0001827665
311	-0.0001828782
312	-0.0001827516
313	-0.0001828075
314	-0.0001827926
315	-0.0001828298
316	-0.0001827739
317	-0.0001828559
318	-0.0001828112
319	-0.0001827367
320	-0.0001827739
321	-0.0001828857
322	-0.0001827851
323	-0.0001827926
324	-0.0001826882
325	-0.0001827665
326	-0.0001827926
327	-0.0001827628
328	-0.0001827851
329	-0.0001827739
330	-0.0001829006
331	-0.0001827851
332	-0.0001827814
333	-0.0001827739
334	-0.0001827963
335	-0.0001828708
336	-0.0001827665
337	-0.0001828186
338	-0.0001828261
339	-0.0001828633
340	-0.0001828000
341	-0.0001826920
342	-0.0001827888
343	-0.0001827851
344	-0.0001828373
345	-0.0001828745
346	-0.0001828410
347	-0.0001827031
348	-0.0001827851
349	-0.0001828820
350	-0.0001827404
351	-0.0001827590
352	-0.0001828633
353	-0.0001828000
354	-0.0001827739
355	-0.0001828186
356	-0.0001828335
357	-0.0001828335
358	-0.0001827628
359	-0.0001828857
360	-0.0001827516
361	-0.0001828224
362	-0.0001827702
363	-0.0001827926
364	-0.0001827180
365	-0.0001827926
366	-0.0001827814
367	-0.0001828335
368	-0.0001827702
369	-0.0001828745
370	-0.0001827330
371	-0.0001827106
372	-0.0001827777
373	-0.0001827143
374	-0.0001828186
375	-0.0001827180
376	-0.0001827069
377	-0.0001828298
378	-0.0002085045
379	-0.0002022125
380	-0.0002023988
381	-0.0002023205
382	-0.0002022311
383	-0.0002024025
384	-0.0002024062
385	-0.0002022125
386	-0.0002023392
387	-0.0002021715
388	-0.0002022237
389	-0.0002022348
390	-0.0002021901
391	-0.0002022795
392	-0.0002024584
393	-0.0002022460
394	-0.0002023503
395	-0.0002023094
396	-0.0002022758
397	-0.0002022945
398	-0.0002022758
399	-0.0002021529
400	-0.0002021492
401	-0.0002023056
402	-0.0002023280
403	-0.0002022088
404	-0.0002022274
405	-0.0002022758
406	-0.0002022870
407	-0.0002022274
408	-0.0002023205
409	-0.0002022423
410	-0.0002022460
411	-0.0002023615
412	-0.0002023615
413	-0.0002022795
414	-0.0002021454
415	-0.0002024397
416	-0.0002023690
417	-0.0002021529
418	-0.0002022162
419	-0.0002023652
420	-0.0002022125
421	-0.0002021715
422	-0.0002022721
423	-0.0002021939
424	-0.0002022535
425	-0.0002022721
426	-0.0002023541
427	-0.0002022311
428	-0.0002021305
429	-0.0002023354
430	-0.0002022162
431	-0.0002021752
432	-0.0002022348
433	-0.0002023168
434	-0.0002022758
435	-0.0002022050
436	-0.0002024062
437	-0.0002022274
438	-0.0002021343
439	-0.0002022125
440	-0.0002022945
441	-0.0002021864
442	-0.0002021417
443	-0.0002022572
444	-0.0002022907
445	-0.0002022162
446	-0.0002022907
447	-0.0002022609
448	-0.0002023094
449	-0.0002022088
450	-0.0002022050
451	-0.0002023317
452	-0.0002021454
453	-0.0002022386
454	-0.0002023354
455	-0.0002022609
456	-0.0002021939
457	-0.0002022348
458	-0.0002022870
459	-0.0002021641
460	-0.0002023094
461	-0.0002022013
462	-0.0002022162
463	-0.0002020933
464	-0.0002022609
465	-0.0002022125
466	-0.0002022646
467	-0.0002022088
468	-0.0002023876
469	-0.0002022646
470	-0.0002022013
471	-0.0002021976
472	-0.0002022609
473	-0.0002022535
474	-0.0002023652
475	-0.0002022162
476	-0.0002022013
477	-0.0002021939
478	-0.0002022758
479	-0.0002023392
480	-0.0002023243
481	-0.0002021939
482	-0.0002021939
483	-0.0002022237
484	-0.0002023541
485	-0.0002023392
486	-0.0002022833
487	-0.0002253577
488	-0.0002508462
489	-0.0002511591
490	-0.0002506264
491	-0.0002509579
492	-0.0002510660
493	-0.0002508313
494	-0.0002509393
495	-0.0002509654
496	-0.0002509616
497	-0.0002509132
498	-0.0002508164
499	-0.0002508424
500	-0.0002509244
501	-0.0002508015
502	-0.0002509467
503	-0.0002508797
504	-0.0002507679
505	-0.0002509840
506	-0.0002510175
507	-0.0002509393
508	-0.0002508871
509	-0.0002508387
510	-0.0002508573
511	-0.0002509132
512	-0.0002508350
513	-0.0002508424
514	-0.0002509356
515	-0.0002509058
516	-0.0002508052
517	-0.0002509318
518	-0.0002509691
519	-0.0002508424
520	-0.0002509020
521	-0.0002509095
522	-0.0002508760
523	-0.0002509281
524	-0.0002509467
525	-0.0002509393
526	-0.0002508126
527	-0.0002509020
528	-0.0002508313
529	-0.0002509132
530	-0.0002508834
531	-0.0002508089
532	-0.0002509542
533	-0.0002508350
534	-0.0002508573
535	-0.0002508871
536	-0.0002508909
537	-0.0002508797
538	-0.0002508797
539	-0.0002507977
540	-0.0002509281
541	-0.0002508797
542	-0.0002508946
543	-0.0002509095
544	-0.0002508424
545	-0.0002508387
546	-0.0002510362
547	-0.0002509579
548	-0.0002508424
549	-0.0002507307
550	-0.0002509616
551	-0.0002509467
552	-0.0002508499
553	-0.0002508536
554	-0.0002508983
555	-0.0002508462
556	-0.0002508611
557	-0.0002509356
558	-0.0002508946
559	-0.0002507754
560	-0.0002509020
561	-0.0002509616
562	-0.0002509542
563	-0.0002508275
564	-0.0002509132
565	-0.0002508946
566	-0.0002509281
567	-0.0002508387
568	-0.0002509840
569	-0.0002508685
570	-0.0002683252
571	-0.0003039800
572	-0.0003531575
573	-0.0003519505
574	-0.0003470294
575	-0.0003455356
576	-0.0003484003
577	-0.0003499873
578	-0.0003485196
579	-0.0003472790
580	-0.0003476702
581	-0.0003488064
582	-0.0003487393
583	-0.0003480762
584	-0.0003477708
585	-0.0003483221
586	-0.0003484339
587	-0.0003480725
588	-0.0003480129
589	-0.0003481470
590	-0.0003483631
591	-0.0003483147
592	-0.0003480427
593	-0.0003484003
594	-0.0003481768
595	-0.0003482066
596	-0.0003481284
597	-0.0003482215
598	-0.0003481992
599	-0.0003483296
600	-0.0003481806
601	-0.0003481321
602	-0.0003481023
603	-0.0003481172
604	-0.0003481843
605	-0.0003483147
606	-0.0003481731
607	-0.0003481657
608	-0.0003481508
609	-0.0003483258
610	-0.0003481470
611	-0.0003481806
612	-0.0003482588
613	-0.0003482104
614	-0.0003481284
615	-0.0003481806
616	-0.0003481172
617	-0.0003482849
618	-0.0003482513
619	-0.0003481806
620	-0.0003481470
621	-0.0003482886
622	-0.0003482886
623	-0.0003482737
624	-0.0003481955
625	-0.0003481284
626	-0.0003483929
627	-0.0003482253
628	-0.0003481657
629	-0.0003480986
630	-0.0003482811
631	-0.0003483258
632	-0.0003482513
633	-0.0003481433
634	-0.0003482588
635	-0.0003481694
636	-0.0003482066
637	-0.0003482029
638	-0.0003482327
639	-0.0003480837
640	-0.0003482774
641	-0.0003482178
642	-0.0003481768
643	-0.0003481843
644	-0.0003483109
645	-0.0003483780
646	-0.0003482364
647	-0.0003482066
648	-0.0003481545
649	-0.0003481955
650	-0.0003482439
651	-0.0003481917
652	-0.0003481657
653	-0.0003481619
654	-0.0003482402
655	-0.0003482662
656	-0.0003481582
657	-0.0003480762
658	-0.0003481247
659	-0.0003482849
660	-0.0003482104
661	-0.0003481396
662	-0.0003481209
663	-0.0003482700
664	-0.0003482774
665	-0.0003482476
666	-0.0003481955
667	-0.0003482104
668	-0.0003481247
669	-0.0003481433
670	-0.0003482774
671	-0.0003484227
672	-0.0003481433
673	-0.0003481992
674	-0.0003481396
675	-0.0003483743
676	-0.0003481731
677	-0.0003481843
678	-0.0003481172
679	-0.0003482849
680	-0.0003482029
681	-0.0003481172
682	-0.0003482066
683	-0.0003480911
684	-0.0003482625
685	-0.0003482364
686	-0.0003482439
687	-0.0003480613
688	-0.0003483445
689	-0.0003482923
690	-0.0003482774
691	-0.0003480725
692	-0.0003482811
693	-0.0003482700
694	-0.0003481694
695	-0.0003480837
696	-0.0003482178
697	-0.0003482364
698	-0.0003482923
699	-0.0003482662
700	-0.0003482774
701	-0.0003482029
702	-0.0003481582
703	-0.0003481172
704	-0.0003482439
705	-0.0003482439
706	-0.0003481470
707	-0.0003481992
708	-0.0003482700
709	-0.0003482923
710	-0.0003482290
711	-0.0003481619
712	-0.0003482253
713	-0.0003481284
714	-0.0003480315
715	-0.0003481433
716	-0.0003482476
717	-0.0003481992
718	-0.0003481619
719	-0.0003479608
720	-0.0003481545
721	-0.0003484227
722	-0.0003482513
