No	ai0
508	0.0001727864
509	0.0001729168
510	0.0001727678
511	0.0001728758
512	0.0001727268
513	0.0001728498
514	0.0001728796
515	0.0001728051
516	0.0001728125
517	0.0001728907
518	0.0001727976
519	0.0001728758
520	0.0001727827
521	0.0001727752
522	0.0001727045
523	0.0001726821
524	0.0001728200
525	0.0001727864
526	0.0001728274
